country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",29-07-2024 11:00:00,14.465052,78.824187,NO2,5.0,6.0,5.0
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",29-07-2024 11:00:00,14.465052,78.824187,NH3,1.0,1.0,1.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-07-2024 11:00:00,16.9872867,81.7363176,PM2.5,15.0,29.0,22.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-07-2024 11:00:00,16.9872867,81.7363176,PM10,16.0,46.0,30.0
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-07-2024 11:00:00,16.9872867,81.7363176,NO2,4.0,22.0,9.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",29-07-2024 11:00:00,13.615387,79.40923,CO,12.0,40.0,18.0
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",29-07-2024 11:00:00,16.486692,80.699436,PM2.5,33.0,55.0,40.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-07-2024 11:00:00,16.509717,80.612222,PM10,33.0,70.0,52.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-07-2024 11:00:00,16.509717,80.612222,NO2,26.0,38.0,30.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-07-2024 11:00:00,16.509717,80.612222,SO2,7.0,9.0,8.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-07-2024 11:00:00,16.509717,80.612222,OZONE,27.0,27.0,27.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",29-07-2024 11:00:00,16.554731,80.64911,PM2.5,28.0,34.0,31.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",29-07-2024 11:00:00,16.554731,80.64911,PM10,30.0,35.0,32.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",29-07-2024 11:00:00,16.554731,80.64911,NH3,1.0,2.0,2.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",29-07-2024 11:00:00,17.72,83.3,CO,3.0,102.0,27.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-07-2024 11:00:00,26.2028636,91.70046436,CO,5.0,12.0,7.0
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",29-07-2024 11:00:00,26.10887,91.589544,SO2,1.0,7.0,2.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",29-07-2024 11:00:00,26.1875,91.744194,SO2,33.0,78.0,51.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",29-07-2024 11:00:00,26.181742,91.78063,PM2.5,11.0,49.0,26.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",29-07-2024 11:00:00,26.446912,91.439057,PM10,24.0,92.0,48.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",29-07-2024 11:00:00,26.446912,91.439057,NH3,1.0,2.0,1.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",29-07-2024 11:00:00,26.446912,91.439057,CO,14.0,76.0,43.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",29-07-2024 11:00:00,24.82827,92.79525,PM2.5,33.0,42.0,38.0
India,Assam,Silchar,"Tarapur, Silchar - PCBA",29-07-2024 11:00:00,24.82827,92.79525,OZONE,1.0,14.0,3.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",29-07-2024 11:00:00,26.987634,94.636574,NO2,4.0,9.0,6.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",29-07-2024 11:00:00,26.987634,94.636574,CO,18.0,28.0,20.0
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",29-07-2024 11:00:00,25.5626095,84.663264,CO,18.0,24.0,19.0
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",29-07-2024 11:00:00,24.75746,84.366208,NH3,2.0,3.0,3.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",29-07-2024 11:00:00,26.80365,84.51954,NH3,10.0,23.0,17.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",29-07-2024 11:00:00,25.251013,86.989001,PM2.5,28.0,97.0,46.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",29-07-2024 11:00:00,25.251013,86.989001,PM10,38.0,109.0,58.0
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",29-07-2024 11:00:00,25.56752,83.966379,CO,36.0,52.0,49.0
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",29-07-2024 11:00:00,25.56752,83.966379,OZONE,7.0,15.0,11.0
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",29-07-2024 11:00:00,24.7955,84.9994,CO,54.0,88.0,78.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",29-07-2024 11:00:00,24.792403,84.992416,SO2,4.0,17.0,11.0
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",29-07-2024 11:00:00,24.792403,84.992416,OZONE,7.0,107.0,45.0
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-07-2024 11:00:00,25.697189,85.2459,SO2,6.0,8.0,7.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-07-2024 11:00:00,26.11442,85.39813,PM10,34.0,56.0,44.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-07-2024 11:00:00,26.11442,85.39813,SO2,2.0,7.0,5.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",29-07-2024 11:00:00,26.1403345,85.3650192,OZONE,22.0,24.0,23.0
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",29-07-2024 11:00:00,26.1209,85.3647,NO2,33.0,36.0,34.0
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",29-07-2024 11:00:00,25.586562,85.043586,PM10,36.0,62.0,50.0
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",29-07-2024 11:00:00,25.592539,85.227158,PM10,63.0,92.0,77.0
India,Bihar,Patna,"Muradpur, Patna - BSPCB",29-07-2024 11:00:00,25.619651,85.147382,NO2,15.0,20.0,17.0
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-07-2024 11:00:00,25.599486,85.113666,PM10,39.0,75.0,54.0
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",29-07-2024 11:00:00,25.599486,85.113666,CO,18.0,63.0,27.0
India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-07-2024 11:00:00,25.596727,85.085624,SO2,3.0,5.0,4.0
India,Bihar,Patna,"Samanpura, Patna - BSPCB",29-07-2024 11:00:00,25.596727,85.085624,CO,32.0,72.0,44.0
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",29-07-2024 11:00:00,25.366336,87.117468,NO2,5.0,6.0,5.0
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",29-07-2024 11:00:00,25.366336,87.117468,NH3,1.0,1.0,1.0
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",29-07-2024 11:00:00,25.366336,87.117468,OZONE,1.0,24.0,13.0
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",29-07-2024 11:00:00,25.0328,85.41948,PM2.5,3.0,47.0,15.0
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",29-07-2024 11:00:00,25.0328,85.41948,NH3,1.0,2.0,1.0
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",29-07-2024 11:00:00,25.892357,86.590325,NH3,9.0,9.0,9.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",29-07-2024 11:00:00,25.859655,85.77944,NH3,2.0,2.0,2.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",29-07-2024 11:00:00,25.859655,85.77944,SO2,14.0,19.0,18.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",29-07-2024 11:00:00,25.859655,85.77944,CO,102.0,116.0,108.0
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",29-07-2024 11:00:00,24.952822,84.002396,SO2,5.0,10.0,7.0
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",29-07-2024 11:00:00,24.952822,84.002396,OZONE,5.0,25.0,14.0
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",29-07-2024 11:00:00,30.735567,76.775714,NO2,13.0,55.0,34.0
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",29-07-2024 11:00:00,30.751462,76.762879,PM2.5,27.0,46.0,35.0
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",29-07-2024 11:00:00,21.194815,81.31477,PM10,6.0,10.0,8.0
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",29-07-2024 11:00:00,21.194815,81.31477,NO2,7.0,8.0,8.0
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",29-07-2024 11:00:00,21.194815,81.31477,NH3,8.0,8.0,8.0
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",29-07-2024 11:00:00,21.185571,81.343175,SO2,9.0,11.0,10.0
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",29-07-2024 11:00:00,21.224231,81.40835,PM2.5,11.0,69.0,40.0
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",29-07-2024 11:00:00,21.224231,81.40835,NO2,11.0,44.0,31.0
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",29-07-2024 11:00:00,21.224231,81.40835,SO2,12.0,41.0,22.0
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",29-07-2024 11:00:00,22.08815,82.13737,PM2.5,4.0,24.0,11.0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",29-07-2024 11:00:00,22.118125,83.140608,PM10,6.0,28.0,15.0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",29-07-2024 11:00:00,22.118125,83.140608,CO,18.0,32.0,23.0
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",29-07-2024 11:00:00,22.368195,82.746431,NH3,1.0,1.0,1.0
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",29-07-2024 11:00:00,22.368195,82.746431,OZONE,4.0,8.0,5.0
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",29-07-2024 11:00:00,22.348441,82.549611,PM2.5,8.0,8.0,8.0
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",29-07-2024 11:00:00,22.348441,82.549611,NH3,4.0,5.0,4.0
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",29-07-2024 11:00:00,22.12665,83.483212,SO2,2.0,5.0,4.0
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",29-07-2024 11:00:00,21.258815,81.578979,PM2.5,1.0,7.0,3.0
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",29-07-2024 11:00:00,21.219665,81.630094,PM2.5,2.0,7.0,3.0
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",29-07-2024 11:00:00,21.219665,81.630094,NH3,2.0,2.0,2.0
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",29-07-2024 11:00:00,21.237755,81.705301,PM2.5,3.0,4.0,4.0
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",29-07-2024 11:00:00,21.237755,81.705301,PM10,3.0,5.0,4.0
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",29-07-2024 11:00:00,21.371751,81.664929,NH3,3.0,3.0,3.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-07-2024 11:00:00,28.815329,77.15301,PM10,23.0,95.0,61.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",29-07-2024 11:00:00,28.815329,77.15301,NH3,6.0,10.0,7.0
